"STATISTIC","Statistic","TLIST(A1)","Year","C02039V02469","Type of Crop","UNIT","VALUE"
"AQA04C1","Area under Crops","2008","2008","01","Total wheat, oats and barley","000 Hectares","320.7"
"AQA04C1","Area under Crops","2008","2008","011","Total wheat","000 Hectares","110.7"
"AQA04C1","Area under Crops","2008","2008","0111","Winter wheat","000 Hectares","87.5"
"AQA04C1","Area under Crops","2008","2008","0112","Spring wheat","000 Hectares","23.2"
"AQA04C1","Area under Crops","2008","2008","012","Total oats","000 Hectares","22.9"
"AQA04C1","Area under Crops","2008","2008","0121","Winter oats","000 Hectares","18.7"
"AQA04C1","Area under Crops","2008","2008","0122","Spring oats","000 Hectares","4.2"
"AQA04C1","Area under Crops","2008","2008","013","Total barley","000 Hectares","187.2"
"AQA04C1","Area under Crops","2008","2008","0131","Winter barley","000 Hectares","21.1"
"AQA04C1","Area under Crops","2008","2008","0132","Spring barley","000 Hectares","166"
"AQA04C1","Area under Crops","2008","2008","02","Beans and peas","000 Hectares","2.5"
"AQA04C1","Area under Crops","2008","2008","03","Oilseed rape","000 Hectares","5.6"
"AQA04C1","Area under Crops","2008","2008","04","Potatoes","000 Hectares","11.2"
"AQA04C1","Area under Crops","2009","2009","01","Total wheat, oats and barley","000 Hectares","298.5"
"AQA04C1","Area under Crops","2009","2009","011","Total wheat","000 Hectares","84.5"
"AQA04C1","Area under Crops","2009","2009","0111","Winter wheat","000 Hectares","64.3"
"AQA04C1","Area under Crops","2009","2009","0112","Spring wheat","000 Hectares","20.2"
"AQA04C1","Area under Crops","2009","2009","012","Total oats","000 Hectares","20.4"
"AQA04C1","Area under Crops","2009","2009","0121","Winter oats","000 Hectares","9.1"
"AQA04C1","Area under Crops","2009","2009","0122","Spring oats","000 Hectares","11.3"
"AQA04C1","Area under Crops","2009","2009","013","Total barley","000 Hectares","193.6"
"AQA04C1","Area under Crops","2009","2009","0131","Winter barley","000 Hectares","19.3"
"AQA04C1","Area under Crops","2009","2009","0132","Spring barley","000 Hectares","174.3"
"AQA04C1","Area under Crops","2009","2009","02","Beans and peas","000 Hectares","4.2"
"AQA04C1","Area under Crops","2009","2009","03","Oilseed rape","000 Hectares","6.3"
"AQA04C1","Area under Crops","2009","2009","04","Potatoes","000 Hectares","12.2"
"AQA04C1","Area under Crops","2010","2010","01","Total wheat, oats and barley","000 Hectares","272.3"
"AQA04C1","Area under Crops","2010","2010","011","Total wheat","000 Hectares","77.8"
"AQA04C1","Area under Crops","2010","2010","0111","Winter wheat","000 Hectares","59.8"
"AQA04C1","Area under Crops","2010","2010","0112","Spring wheat","000 Hectares","18"
"AQA04C1","Area under Crops","2010","2010","012","Total oats","000 Hectares","19.7"
"AQA04C1","Area under Crops","2010","2010","0121","Winter oats","000 Hectares","10.3"
"AQA04C1","Area under Crops","2010","2010","0122","Spring oats","000 Hectares","9.4"
"AQA04C1","Area under Crops","2010","2010","013","Total barley","000 Hectares","174.8"
"AQA04C1","Area under Crops","2010","2010","0131","Winter barley","000 Hectares","28.8"
"AQA04C1","Area under Crops","2010","2010","0132","Spring barley","000 Hectares","146"
"AQA04C1","Area under Crops","2010","2010","02","Beans and peas","000 Hectares","4.6"
"AQA04C1","Area under Crops","2010","2010","03","Oilseed rape","000 Hectares","8"
"AQA04C1","Area under Crops","2010","2010","04","Potatoes","000 Hectares","12.2"
"AQA04C1","Area under Crops","2011","2011","01","Total wheat, oats and barley","000 Hectares","296.2"
"AQA04C1","Area under Crops","2011","2011","011","Total wheat","000 Hectares","94.2"
"AQA04C1","Area under Crops","2011","2011","0111","Winter wheat","000 Hectares","77.7"
"AQA04C1","Area under Crops","2011","2011","0112","Spring wheat","000 Hectares","16.4"
"AQA04C1","Area under Crops","2011","2011","012","Total oats","000 Hectares","21.4"
"AQA04C1","Area under Crops","2011","2011","0121","Winter oats","000 Hectares","9"
"AQA04C1","Area under Crops","2011","2011","0122","Spring oats","000 Hectares","12.4"
"AQA04C1","Area under Crops","2011","2011","013","Total barley","000 Hectares","180.6"
"AQA04C1","Area under Crops","2011","2011","0131","Winter barley","000 Hectares","35.9"
"AQA04C1","Area under Crops","2011","2011","0132","Spring barley","000 Hectares","144.8"
"AQA04C1","Area under Crops","2011","2011","02","Beans and peas","000 Hectares","2.9"
"AQA04C1","Area under Crops","2011","2011","03","Oilseed rape","000 Hectares","12.4"
"AQA04C1","Area under Crops","2011","2011","04","Potatoes","000 Hectares","10.4"
"AQA04C1","Area under Crops","2012","2012","01","Total wheat, oats and barley","000 Hectares","314.5"
"AQA04C1","Area under Crops","2012","2012","011","Total wheat","000 Hectares","98"
"AQA04C1","Area under Crops","2012","2012","0111","Winter wheat","000 Hectares","84.6"
"AQA04C1","Area under Crops","2012","2012","0112","Spring wheat","000 Hectares","13.5"
"AQA04C1","Area under Crops","2012","2012","012","Total oats","000 Hectares","23.7"
"AQA04C1","Area under Crops","2012","2012","0121","Winter oats","000 Hectares","9.9"
"AQA04C1","Area under Crops","2012","2012","0122","Spring oats","000 Hectares","13.8"
"AQA04C1","Area under Crops","2012","2012","013","Total barley","000 Hectares","192.8"
"AQA04C1","Area under Crops","2012","2012","0131","Winter barley","000 Hectares","41"
"AQA04C1","Area under Crops","2012","2012","0132","Spring barley","000 Hectares","151.8"
"AQA04C1","Area under Crops","2012","2012","02","Beans and peas","000 Hectares","4.1"
"AQA04C1","Area under Crops","2012","2012","03","Oilseed rape","000 Hectares","17.5"
"AQA04C1","Area under Crops","2012","2012","04","Potatoes","000 Hectares","9"
"AQA04C1","Area under Crops","2013","2013","01","Total wheat, oats and barley","000 Hectares","306.7"
"AQA04C1","Area under Crops","2013","2013","011","Total wheat","000 Hectares","60.6"
"AQA04C1","Area under Crops","2013","2013","0111","Winter wheat","000 Hectares","45.4"
"AQA04C1","Area under Crops","2013","2013","0112","Spring wheat","000 Hectares","15.2"
"AQA04C1","Area under Crops","2013","2013","012","Total oats","000 Hectares","26.7"
"AQA04C1","Area under Crops","2013","2013","0121","Winter oats","000 Hectares","5.4"
"AQA04C1","Area under Crops","2013","2013","0122","Spring oats","000 Hectares","21.3"
"AQA04C1","Area under Crops","2013","2013","013","Total barley","000 Hectares","219.4"
"AQA04C1","Area under Crops","2013","2013","0131","Winter barley","000 Hectares","36"
"AQA04C1","Area under Crops","2013","2013","0132","Spring barley","000 Hectares","183.5"
"AQA04C1","Area under Crops","2013","2013","02","Beans and peas","000 Hectares","4.5"
"AQA04C1","Area under Crops","2013","2013","03","Oilseed rape","000 Hectares","13.7"
"AQA04C1","Area under Crops","2013","2013","04","Potatoes","000 Hectares","10.7"
"AQA04C1","Area under Crops","2014","2014","01","Total wheat, oats and barley","000 Hectares","305.9"
"AQA04C1","Area under Crops","2014","2014","011","Total wheat","000 Hectares","71.6"
"AQA04C1","Area under Crops","2014","2014","0111","Winter wheat","000 Hectares","65.1"
"AQA04C1","Area under Crops","2014","2014","0112","Spring wheat","000 Hectares","6.5"
"AQA04C1","Area under Crops","2014","2014","012","Total oats","000 Hectares","18.6"
"AQA04C1","Area under Crops","2014","2014","0121","Winter oats","000 Hectares","10.1"
"AQA04C1","Area under Crops","2014","2014","0122","Spring oats","000 Hectares","8.5"
"AQA04C1","Area under Crops","2014","2014","013","Total barley","000 Hectares","215.7"
"AQA04C1","Area under Crops","2014","2014","0131","Winter barley","000 Hectares","60.1"
"AQA04C1","Area under Crops","2014","2014","0132","Spring barley","000 Hectares","155.6"
"AQA04C1","Area under Crops","2014","2014","02","Beans and peas","000 Hectares","3.5"
"AQA04C1","Area under Crops","2014","2014","03","Oilseed rape","000 Hectares","9.4"
"AQA04C1","Area under Crops","2014","2014","04","Potatoes","000 Hectares","9.5"
"AQA04C1","Area under Crops","2015","2015","01","Total wheat, oats and barley","000 Hectares","291.6"
"AQA04C1","Area under Crops","2015","2015","011","Total wheat","000 Hectares","65.3"
"AQA04C1","Area under Crops","2015","2015","0111","Winter wheat","000 Hectares","55.3"
"AQA04C1","Area under Crops","2015","2015","0112","Spring wheat","000 Hectares","10.1"
"AQA04C1","Area under Crops","2015","2015","012","Total oats","000 Hectares","23.4"
"AQA04C1","Area under Crops","2015","2015","0121","Winter oats","000 Hectares","11.4"
"AQA04C1","Area under Crops","2015","2015","0122","Spring oats","000 Hectares","12.1"
"AQA04C1","Area under Crops","2015","2015","013","Total barley","000 Hectares","202.8"
"AQA04C1","Area under Crops","2015","2015","0131","Winter barley","000 Hectares","69.8"
"AQA04C1","Area under Crops","2015","2015","0132","Spring barley","000 Hectares","133"
"AQA04C1","Area under Crops","2015","2015","02","Beans and peas","000 Hectares","10.7"
"AQA04C1","Area under Crops","2015","2015","03","Oilseed rape","000 Hectares","8.9"
"AQA04C1","Area under Crops","2015","2015","04","Potatoes","000 Hectares","8.5"
"AQA04C1","Area under Crops","2016","2016","01","Total wheat, oats and barley","000 Hectares","280.3"
"AQA04C1","Area under Crops","2016","2016","011","Total wheat","000 Hectares","67.9"
"AQA04C1","Area under Crops","2016","2016","0111","Winter wheat","000 Hectares","60.4"
"AQA04C1","Area under Crops","2016","2016","0112","Spring wheat","000 Hectares","7.5"
"AQA04C1","Area under Crops","2016","2016","012","Total oats","000 Hectares","23.2"
"AQA04C1","Area under Crops","2016","2016","0121","Winter oats","000 Hectares","13.2"
"AQA04C1","Area under Crops","2016","2016","0122","Spring oats","000 Hectares","10"
"AQA04C1","Area under Crops","2016","2016","013","Total barley","000 Hectares","189.2"
"AQA04C1","Area under Crops","2016","2016","0131","Winter barley","000 Hectares","74.6"
"AQA04C1","Area under Crops","2016","2016","0132","Spring barley","000 Hectares","114.6"
"AQA04C1","Area under Crops","2016","2016","02","Beans and peas","000 Hectares","12.5"
"AQA04C1","Area under Crops","2016","2016","03","Oilseed rape","000 Hectares","9.9"
"AQA04C1","Area under Crops","2016","2016","04","Potatoes","000 Hectares","9"
"AQA04C1","Area under Crops","2017","2017","01","Total wheat, oats and barley","000 Hectares","271.7"
"AQA04C1","Area under Crops","2017","2017","011","Total wheat","000 Hectares","67"
"AQA04C1","Area under Crops","2017","2017","0111","Winter wheat","000 Hectares","60.3"
"AQA04C1","Area under Crops","2017","2017","0112","Spring wheat","000 Hectares","6.8"
"AQA04C1","Area under Crops","2017","2017","012","Total oats","000 Hectares","24.4"
"AQA04C1","Area under Crops","2017","2017","0121","Winter oats","000 Hectares","14.4"
"AQA04C1","Area under Crops","2017","2017","0122","Spring oats","000 Hectares","10"
"AQA04C1","Area under Crops","2017","2017","013","Total barley","000 Hectares","180.2"
"AQA04C1","Area under Crops","2017","2017","0131","Winter barley","000 Hectares","65"
"AQA04C1","Area under Crops","2017","2017","0132","Spring barley","000 Hectares","115.2"
"AQA04C1","Area under Crops","2017","2017","02","Beans and peas","000 Hectares","13.7"
"AQA04C1","Area under Crops","2017","2017","03","Oilseed rape","000 Hectares","10.1"
"AQA04C1","Area under Crops","2017","2017","04","Potatoes","000 Hectares","9.2"
"AQA04C1","Area under Crops","2018","2018","01","Total wheat, oats and barley","000 Hectares","261"
"AQA04C1","Area under Crops","2018","2018","011","Total wheat","000 Hectares","58"
"AQA04C1","Area under Crops","2018","2018","0111","Winter wheat","000 Hectares","54.4"
"AQA04C1","Area under Crops","2018","2018","0112","Spring wheat","000 Hectares","3.6"
"AQA04C1","Area under Crops","2018","2018","012","Total oats","000 Hectares","17.8"
"AQA04C1","Area under Crops","2018","2018","0121","Winter oats","000 Hectares","10.2"
"AQA04C1","Area under Crops","2018","2018","0122","Spring oats","000 Hectares","7.6"
"AQA04C1","Area under Crops","2018","2018","013","Total barley","000 Hectares","185.2"
"AQA04C1","Area under Crops","2018","2018","0131","Winter barley","000 Hectares","57.9"
"AQA04C1","Area under Crops","2018","2018","0132","Spring barley","000 Hectares","127.4"
"AQA04C1","Area under Crops","2018","2018","02","Beans and peas","000 Hectares","8.5"
"AQA04C1","Area under Crops","2018","2018","03","Oilseed rape","000 Hectares","10.6"
"AQA04C1","Area under Crops","2018","2018","04","Potatoes","000 Hectares","8.2"
"AQA04C1","Area under Crops","2019","2019","01","Total wheat, oats and barley","000 Hectares","266.7"
"AQA04C1","Area under Crops","2019","2019","011","Total wheat","000 Hectares","63.5"
"AQA04C1","Area under Crops","2019","2019","0111","Winter wheat","000 Hectares","59.7"
"AQA04C1","Area under Crops","2019","2019","0112","Spring wheat","000 Hectares","3.8"
"AQA04C1","Area under Crops","2019","2019","012","Total oats","000 Hectares","23.8"
"AQA04C1","Area under Crops","2019","2019","0121","Winter oats","000 Hectares","16.6"
"AQA04C1","Area under Crops","2019","2019","0122","Spring oats","000 Hectares","7.2"
"AQA04C1","Area under Crops","2019","2019","013","Total barley","000 Hectares","179.4"
"AQA04C1","Area under Crops","2019","2019","0131","Winter barley","000 Hectares","82.8"
"AQA04C1","Area under Crops","2019","2019","0132","Spring barley","000 Hectares","96.5"
"AQA04C1","Area under Crops","2019","2019","02","Beans and peas","000 Hectares","8.1"
"AQA04C1","Area under Crops","2019","2019","03","Oilseed rape","000 Hectares","9.2"
"AQA04C1","Area under Crops","2019","2019","04","Potatoes","000 Hectares","8.7"
"AQA04C1","Area under Crops","2020","2020","01","Total wheat, oats and barley","000 Hectares","265.6"
"AQA04C1","Area under Crops","2020","2020","011","Total wheat","000 Hectares","47"
"AQA04C1","Area under Crops","2020","2020","0111","Winter wheat","000 Hectares","35.4"
"AQA04C1","Area under Crops","2020","2020","0112","Spring wheat","000 Hectares","11.5"
"AQA04C1","Area under Crops","2020","2020","012","Total oats","000 Hectares","25.4"
"AQA04C1","Area under Crops","2020","2020","0121","Winter oats","000 Hectares","8.3"
"AQA04C1","Area under Crops","2020","2020","0122","Spring oats","000 Hectares","17.2"
"AQA04C1","Area under Crops","2020","2020","013","Total barley","000 Hectares","193.2"
"AQA04C1","Area under Crops","2020","2020","0131","Winter barley","000 Hectares","51.5"
"AQA04C1","Area under Crops","2020","2020","0132","Spring barley","000 Hectares","141.7"
"AQA04C1","Area under Crops","2020","2020","02","Beans and peas","000 Hectares","13.7"
"AQA04C1","Area under Crops","2020","2020","03","Oilseed rape","000 Hectares","10.3"
"AQA04C1","Area under Crops","2020","2020","04","Potatoes","000 Hectares","8.9"
"AQA04C1","Area under Crops","2021","2021","01","Total wheat, oats and barley","000 Hectares","274.6"
"AQA04C1","Area under Crops","2021","2021","011","Total wheat","000 Hectares","62.3"
"AQA04C1","Area under Crops","2021","2021","0111","Winter wheat","000 Hectares","56.2"
"AQA04C1","Area under Crops","2021","2021","0112","Spring wheat","000 Hectares","6.1"
"AQA04C1","Area under Crops","2021","2021","012","Total oats","000 Hectares","28.4"
"AQA04C1","Area under Crops","2021","2021","0121","Winter oats","000 Hectares","13.9"
"AQA04C1","Area under Crops","2021","2021","0122","Spring oats","000 Hectares","14.5"
"AQA04C1","Area under Crops","2021","2021","013","Total barley","000 Hectares","183.9"
"AQA04C1","Area under Crops","2021","2021","0131","Winter barley","000 Hectares","67.5"
"AQA04C1","Area under Crops","2021","2021","0132","Spring barley","000 Hectares","116.4"
"AQA04C1","Area under Crops","2021","2021","02","Beans and peas","000 Hectares","9.7"
"AQA04C1","Area under Crops","2021","2021","03","Oilseed rape","000 Hectares","11.3"
"AQA04C1","Area under Crops","2021","2021","04","Potatoes","000 Hectares","8.9"
"AQA04C2","Crop Yield per Hectare","2008","2008","01","Total wheat, oats and barley","Tonnes","7.7"
"AQA04C2","Crop Yield per Hectare","2008","2008","011","Total wheat","Tonnes","9"
"AQA04C2","Crop Yield per Hectare","2008","2008","0111","Winter wheat","Tonnes","9.6"
"AQA04C2","Crop Yield per Hectare","2008","2008","0112","Spring wheat","Tonnes","6.6"
"AQA04C2","Crop Yield per Hectare","2008","2008","012","Total oats","Tonnes","7.6"
"AQA04C2","Crop Yield per Hectare","2008","2008","0121","Winter oats","Tonnes","7.9"
"AQA04C2","Crop Yield per Hectare","2008","2008","0122","Spring oats","Tonnes","6.3"
"AQA04C2","Crop Yield per Hectare","2008","2008","013","Total barley","Tonnes","6.9"
"AQA04C2","Crop Yield per Hectare","2008","2008","0131","Winter barley","Tonnes","8.6"
"AQA04C2","Crop Yield per Hectare","2008","2008","0132","Spring barley","Tonnes","6.7"
"AQA04C2","Crop Yield per Hectare","2008","2008","02","Beans and peas","Tonnes","4.5"
"AQA04C2","Crop Yield per Hectare","2008","2008","03","Oilseed rape","Tonnes","3.6"
"AQA04C2","Crop Yield per Hectare","2008","2008","04","Potatoes","Tonnes","30.7"
"AQA04C2","Crop Yield per Hectare","2009","2009","01","Total wheat, oats and barley","Tonnes","6.9"
"AQA04C2","Crop Yield per Hectare","2009","2009","011","Total wheat","Tonnes","8.2"
"AQA04C2","Crop Yield per Hectare","2009","2009","0111","Winter wheat","Tonnes","8.6"
"AQA04C2","Crop Yield per Hectare","2009","2009","0112","Spring wheat","Tonnes","6.8"
"AQA04C2","Crop Yield per Hectare","2009","2009","012","Total oats","Tonnes","7.1"
"AQA04C2","Crop Yield per Hectare","2009","2009","0121","Winter oats","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2009","2009","0122","Spring oats","Tonnes","6.6"
"AQA04C2","Crop Yield per Hectare","2009","2009","013","Total barley","Tonnes","6.3"
"AQA04C2","Crop Yield per Hectare","2009","2009","0131","Winter barley","Tonnes","8.5"
"AQA04C2","Crop Yield per Hectare","2009","2009","0132","Spring barley","Tonnes","6.1"
"AQA04C2","Crop Yield per Hectare","2009","2009","02","Beans and peas","Tonnes","5.3"
"AQA04C2","Crop Yield per Hectare","2009","2009","03","Oilseed rape","Tonnes","3.7"
"AQA04C2","Crop Yield per Hectare","2009","2009","04","Potatoes","Tonnes","27.6"
"AQA04C2","Crop Yield per Hectare","2010","2010","01","Total wheat, oats and barley","Tonnes","7.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","011","Total wheat","Tonnes","8.6"
"AQA04C2","Crop Yield per Hectare","2010","2010","0111","Winter wheat","Tonnes","8.9"
"AQA04C2","Crop Yield per Hectare","2010","2010","0112","Spring wheat","Tonnes","7.6"
"AQA04C2","Crop Yield per Hectare","2010","2010","012","Total oats","Tonnes","7.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","0121","Winter oats","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2010","2010","0122","Spring oats","Tonnes","7.2"
"AQA04C2","Crop Yield per Hectare","2010","2010","013","Total barley","Tonnes","7"
"AQA04C2","Crop Yield per Hectare","2010","2010","0131","Winter barley","Tonnes","8.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","0132","Spring barley","Tonnes","6.7"
"AQA04C2","Crop Yield per Hectare","2010","2010","02","Beans and peas","Tonnes","5.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","03","Oilseed rape","Tonnes","3.5"
"AQA04C2","Crop Yield per Hectare","2010","2010","04","Potatoes","Tonnes","34.4"
"AQA04C2","Crop Yield per Hectare","2011","2011","01","Total wheat, oats and barley","Tonnes","8.5"
"AQA04C2","Crop Yield per Hectare","2011","2011","011","Total wheat","Tonnes","9.9"
"AQA04C2","Crop Yield per Hectare","2011","2011","0111","Winter wheat","Tonnes","10.2"
"AQA04C2","Crop Yield per Hectare","2011","2011","0112","Spring wheat","Tonnes","8.3"
"AQA04C2","Crop Yield per Hectare","2011","2011","012","Total oats","Tonnes","7.9"
"AQA04C2","Crop Yield per Hectare","2011","2011","0121","Winter oats","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2011","2011","0122","Spring oats","Tonnes","7.9"
"AQA04C2","Crop Yield per Hectare","2011","2011","013","Total barley","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2011","2011","0131","Winter barley","Tonnes","9.1"
"AQA04C2","Crop Yield per Hectare","2011","2011","0132","Spring barley","Tonnes","7.5"
"AQA04C2","Crop Yield per Hectare","2011","2011","02","Beans and peas","Tonnes","5.7"
"AQA04C2","Crop Yield per Hectare","2011","2011","03","Oilseed rape","Tonnes","4.5"
"AQA04C2","Crop Yield per Hectare","2011","2011","04","Potatoes","Tonnes","34.4"
"AQA04C2","Crop Yield per Hectare","2012","2012","01","Total wheat, oats and barley","Tonnes","6.8"
"AQA04C2","Crop Yield per Hectare","2012","2012","011","Total wheat","Tonnes","7.2"
"AQA04C2","Crop Yield per Hectare","2012","2012","0111","Winter wheat","Tonnes","7.4"
"AQA04C2","Crop Yield per Hectare","2012","2012","0112","Spring wheat","Tonnes","6.1"
"AQA04C2","Crop Yield per Hectare","2012","2012","012","Total oats","Tonnes","6.6"
"AQA04C2","Crop Yield per Hectare","2012","2012","0121","Winter oats","Tonnes","6.9"
"AQA04C2","Crop Yield per Hectare","2012","2012","0122","Spring oats","Tonnes","6.4"
"AQA04C2","Crop Yield per Hectare","2012","2012","013","Total barley","Tonnes","6.5"
"AQA04C2","Crop Yield per Hectare","2012","2012","0131","Winter barley","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2012","2012","0132","Spring barley","Tonnes","6.2"
"AQA04C2","Crop Yield per Hectare","2012","2012","02","Beans and peas","Tonnes","4.8"
"AQA04C2","Crop Yield per Hectare","2012","2012","03","Oilseed rape","Tonnes","3.2"
"AQA04C2","Crop Yield per Hectare","2012","2012","04","Potatoes","Tonnes","25.8"
"AQA04C2","Crop Yield per Hectare","2013","2013","01","Total wheat, oats and barley","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2013","2013","011","Total wheat","Tonnes","9"
"AQA04C2","Crop Yield per Hectare","2013","2013","0111","Winter wheat","Tonnes","9.3"
"AQA04C2","Crop Yield per Hectare","2013","2013","0112","Spring wheat","Tonnes","8.1"
"AQA04C2","Crop Yield per Hectare","2013","2013","012","Total oats","Tonnes","7.2"
"AQA04C2","Crop Yield per Hectare","2013","2013","0121","Winter oats","Tonnes","8.1"
"AQA04C2","Crop Yield per Hectare","2013","2013","0122","Spring oats","Tonnes","7"
"AQA04C2","Crop Yield per Hectare","2013","2013","013","Total barley","Tonnes","7.6"
"AQA04C2","Crop Yield per Hectare","2013","2013","0131","Winter barley","Tonnes","9.5"
"AQA04C2","Crop Yield per Hectare","2013","2013","0132","Spring barley","Tonnes","7.2"
"AQA04C2","Crop Yield per Hectare","2013","2013","02","Beans and peas","Tonnes","5.2"
"AQA04C2","Crop Yield per Hectare","2013","2013","03","Oilseed rape","Tonnes","3.6"
"AQA04C2","Crop Yield per Hectare","2013","2013","04","Potatoes","Tonnes","38.2"
"AQA04C2","Crop Yield per Hectare","2014","2014","01","Total wheat, oats and barley","Tonnes","8.5"
"AQA04C2","Crop Yield per Hectare","2014","2014","011","Total wheat","Tonnes","10"
"AQA04C2","Crop Yield per Hectare","2014","2014","0111","Winter wheat","Tonnes","10.2"
"AQA04C2","Crop Yield per Hectare","2014","2014","0112","Spring wheat","Tonnes","8.3"
"AQA04C2","Crop Yield per Hectare","2014","2014","012","Total oats","Tonnes","8"
"AQA04C2","Crop Yield per Hectare","2014","2014","0121","Winter oats","Tonnes","8.7"
"AQA04C2","Crop Yield per Hectare","2014","2014","0122","Spring oats","Tonnes","7.3"
"AQA04C2","Crop Yield per Hectare","2014","2014","013","Total barley","Tonnes","8"
"AQA04C2","Crop Yield per Hectare","2014","2014","0131","Winter barley","Tonnes","9.3"
"AQA04C2","Crop Yield per Hectare","2014","2014","0132","Spring barley","Tonnes","7.5"
